Date, Open, High, Low, Close
07/24/06, 1260.91, 1262.50, 1240.25, 1260.91
07/21/06, 1240.29, 1250.96, 1238.72, 1240.29
07/20/06, 1249.13, 1262.56, 1249.13, 1249.13
07/19/06, 1259.81, 1261.81, 1236.74, 1259.81
07/18/06, 1236.86, 1239.86, 1224.54, 1236.86
07/17/06, 1234.49, 1240.07, 1231.49, 1234.49
07/14/06, 1236.20, 1242.70, 1228.45, 1236.20
07/13/06, 1242.29, 1258.58, 1241.43, 1242.29
07/12/06, 1258.60, 1273.31, 1257.29, 1258.60
07/11/06, 1272.52, 1273.64, 1259.65, 1272.52
07/10/06, 1267.34, 1274.06, 1264.46, 1267.34
07/07/06, 1265.48, 1275.38, 1263.13, 1265.48
07/06/06, 1274.08, 1278.32, 1270.58, 1274.08
07/05/06, 1270.91, 1280.05, 1265.91, 1270.91
07/03/06, 1280.19, 1280.38, 1270.06, 1280.19
06/30/06, 1270.20, 1276.30, 1270.20, 1270.20
06/29/06, 1272.87, 1272.88, 1245.94, 1272.87
06/28/06, 1246.00, 1247.06, 1237.59, 1246.00
06/27/06, 1239.20, 1253.37, 1238.94, 1239.20
06/26/06, 1250.56, 1250.92, 1243.68, 1250.56
06/23/06, 1244.50, 1253.13, 1241.43, 1244.50
06/22/06, 1245.60, 1251.92, 1241.53, 1245.60
06/21/06, 1252.20, 1257.96, 1240.09, 1252.20
06/20/06, 1240.12, 1249.01, 1238.87, 1240.12
06/19/06, 1240.14, 1255.93, 1237.17, 1240.14
06/16/06, 1251.54, 1256.27, 1246.33, 1251.54
06/15/06, 1256.16, 1258.64, 1230.01, 1256.16
06/14/06, 1230.04, 1231.46, 1219.29, 1230.04
06/13/06, 1223.69, 1243.37, 1222.52, 1223.69
06/12/06, 1236.40, 1255.22, 1236.20, 1236.40
06/09/06, 1252.30, 1262.58, 1250.03, 1252.30
06/08/06, 1257.93, 1259.85, 1235.18, 1257.93
06/07/06, 1256.15, 1272.47, 1255.77, 1256.15
06/06/06, 1263.85, 1269.88, 1254.46, 1263.85
06/05/06, 1265.29, 1288.16, 1264.66, 1265.29
06/02/06, 1288.22, 1290.68, 1280.22, 1288.22
06/01/06, 1285.71, 1285.71, 1269.19, 1285.71
05/31/06, 1270.09, 1270.09, 1259.38, 1270.09
05/30/06, 1259.84, 1280.04, 1259.84, 1259.84
05/26/06, 1280.16, 1280.54, 1272.50, 1280.16
05/25/06, 1272.88, 1273.26, 1258.41, 1272.88
05/24/06, 1258.57, 1264.53, 1245.34, 1258.57
05/23/06, 1256.58, 1273.67, 1256.15, 1256.58
05/22/06, 1262.07, 1268.77, 1252.98, 1262.07
