QuoteDate,expiration,strike,OptionType,bid_eod,ask_eod,underlying_bid_eod,underlying_ask_eod
2004-08-04,2004-10-16,825.0,c,270.5,272.5,1098.63,1098.63
2004-08-04,2004-10-16,825.0,p,0.4,0.9,1098.63,1098.63
2004-08-04,2004-10-16,850.0,c,245.9,247.9,1098.63,1098.63
2004-08-04,2004-10-16,850.0,p,0.8,1.3,1098.63,1098.63
2004-08-04,2004-10-16,875.0,c,221.5,223.5,1098.63,1098.63
2004-08-04,2004-10-16,875.0,p,1.2,1.7,1098.63,1098.63
2004-08-04,2004-12-18,800.0,c,296.6,298.6,1098.63,1098.63
2004-08-04,2004-12-18,800.0,p,2.1,2.4,1098.63,1098.63
2004-08-04,2004-12-18,825.0,c,272.3,274.3,1098.63,1098.63
2004-08-04,2004-12-18,825.0,p,2.7,3.5,1098.63,1098.63
2004-08-04,2004-12-18,850.0,c,248.7,250.7,1098.63,1098.63
2004-08-04,2004-12-18,850.0,p,3.8,4.5,1098.63,1098.63
2004-08-04,2004-12-18,875.0,c,225.0,227.0,1098.63,1098.63
2004-08-04,2004-12-18,875.0,p,4.8,5.6,1098.63,1098.63
2004-08-04,2005-03-19,800.0,c,299.5,301.5,1098.63,1098.63
2004-08-04,2005-03-19,800.0,p,5.6,6.6,1098.63,1098.63
2004-08-04,2005-03-19,825.0,c,276.4,278.4,1098.63,1098.63
2004-08-04,2005-03-19,825.0,p,7.0,8.0,1098.63,1098.63
2004-08-04,2005-03-19,850.0,c,253.2,255.2,1098.63,1098.63
2004-08-04,2005-03-19,850.0,p,8.6,9.6,1098.63,1098.63
2004-08-04,2005-03-19,875.0,c,0.0,0.0,1098.63,1098.63
2004-08-04,2005-03-19,875.0,p,0.0,0.0,1098.63,1098.63
2004-08-04,2005-06-18,800.0,c,304.2,306.2,1098.63,1098.63
2004-08-04,2005-06-18,800.0,p,9.6,10.6,1098.63,1098.63
2004-08-04,2005-06-18,850.0,c,259.4,261.4,1098.63,1098.63
2004-08-04,2005-06-18,850.0,p,13.7,15.3,1098.63,1098.63
2004-08-04,2005-06-18,875.0,c,237.5,239.5,1098.63,1098.63
2004-08-04,2005-06-18,875.0,p,16.3,17.9,1098.63,1098.63
2015-01-07,2015-01-09,950.0,c,1074.8,1078.0,2025.9,2025.9
2015-01-07,2015-01-09,950.0,p,0.0,0.05,2025.9,2025.9
2015-01-07,2015-01-09,1000.0,c,1024.8,1028.0,2025.9,2025.9
2015-01-07,2015-01-09,1000.0,p,0.0,0.15,2025.9,2025.9
2015-01-07,2015-01-09,1050.0,c,974.8,978.0,2025.9,2025.9
2015-01-07,2015-01-09,1050.0,p,0.0,0.15,2025.9,2025.9
2015-01-07,2015-01-09,1100.0,c,924.8,928.0,2025.9,2025.9
2015-01-07,2015-01-09,1100.0,p,0.0,0.05,2025.9,2025.9
2015-01-07,2015-01-09,1150.0,c,874.8,878.0,2025.9,2025.9
2015-01-07,2015-01-09,1150.0,p,0.0,0.05,2025.9,2025.9
2015-01-07,2015-01-09,1175.0,c,849.8,853.0,2025.9,2025.9
2015-01-07,2015-01-09,1175.0,p,0.0,0.05,2025.9,2025.9
2015-01-07,2015-01-09,1200.0,c,824.8,828.0,2025.9,2025.9
2015-01-07,2015-01-09,1200.0,p,0.0,0.05,2025.9,2025.9
2015-01-07,2015-01-09,1225.0,c,799.8,803.0,2025.9,2025.9
2015-01-07,2015-01-09,1225.0,p,0.0,0.05,2025.9,2025.9
2015-01-07,2015-01-09,1250.0,c,774.8,778.0,2025.9,2025.9
2015-01-07,2015-01-09,1250.0,p,0.0,0.05,2025.9,2025.9
2015-01-07,2015-01-09,1275.0,c,749.8,753.0,2025.9,2025.9
2015-01-07,2015-01-09,1275.0,p,0.0,0.05,2025.9,2025.9
2015-01-07,2015-01-09,1300.0,c,724.8,728.0,2025.9,2025.9
2015-01-07,2015-01-09,1300.0,p,0.0,0.15,2025.9,2025.9
2015-01-07,2015-01-09,1325.0,c,699.8,703.0,2025.9,2025.9
2015-01-07,2015-01-09,1325.0,p,0.0,0.15,2025.9,2025.9
2015-01-07,2015-01-09,1350.0,c,674.8,678.0,2025.9,2025.9
2015-01-07,2015-01-09,1350.0,p,0.0,0.05,2025.9,2025.9
2015-01-07,2015-01-09,1375.0,c,649.8,653.0,2025.9,2025.9
2015-01-07,2015-01-09,1375.0,p,0.0,0.05,2025.9,2025.9
2015-01-07,2015-01-09,1400.0,c,624.8,628.0,2025.9,2025.9
2015-01-07,2015-01-09,1400.0,p,0.0,0.05,2025.9,2025.9
2015-01-07,2015-01-09,1425.0,c,599.8,603.0,2025.9,2025.9
2015-01-07,2015-01-09,1425.0,p,0.0,0.05,2025.9,2025.9
2015-01-07,2015-01-09,1450.0,c,574.8,578.0,2025.9,2025.9
2015-01-07,2015-01-09,1450.0,p,0.0,0.05,2025.9,2025.9
2015-01-07,2015-01-09,1460.0,c,564.8,568.0,2025.9,2025.9
2015-01-07,2015-01-09,1460.0,p,0.0,0.05,2025.9,2025.9
2015-01-07,2015-01-09,1470.0,c,554.8,558.0,2025.9,2025.9
2015-01-07,2015-01-09,1470.0,p,0.0,0.05,2025.9,2025.9
2015-01-07,2015-01-09,1475.0,c,549.8,553.0,2025.9,2025.9
2015-01-07,2015-01-09,1475.0,p,0.0,0.05,2025.9,2025.9
2015-01-07,2015-01-09,1480.0,c,544.8,548.0,2025.9,2025.9
2015-01-07,2015-01-09,1480.0,p,0.0,0.05,2025.9,2025.9
2015-01-07,2015-01-09,1490.0,c,534.8,538.0,2025.9,2025.9
2015-01-07,2015-01-09,1490.0,p,0.0,0.05,2025.9,2025.9
